major_code,major,major_category,grad_total,grad_employed,grad_employed_fulltime_yearround,grad_unemployed,grad_unemployment_rate,grad_p25th,grad_median,grad_p75th
5601,Construction Services,Industrial Arts & Consumer Services,9173,7098,6511,681,0.087543386,110000,75000,53000
6004,Commercial Art And Graphic Design,Arts,53864,40492,29553,2482,0.057755852,89000,60000,40000
6211,Hospitality Management,Business,24417,18368,14784,1465,0.073866788,100000,65000,45000
2201,Cosmetology Services And Culinary Arts,Industrial Arts & Consumer Services,5411,3590,2701,316,0.080901178,85000,47000,24500
2001,Communication Technologies,Computers & Mathematics,9109,7512,5622,466,0.058410629,83700,57000,40600
6206,Marketing And Marketing Research,Business,190996,151570,123045,8324,0.052059489,120000,80000,50000
1101,Agriculture Production And Management,Agriculture & Natural Resources,17488,13104,11207,473,0.03483833,100000,67000,41600
2101,Computer Programming And Data Processing,Computers & Mathematics,5611,4716,3981,119,0.024612203,114000,85000,56000
1904,Advertising And Public Relations,Communications & Journalism,33928,28517,22523,899,0.030561599,90000,60000,43000
6005,Film Video And Photographic Arts,Arts,24525,19059,13301,2035,0.096472931,80000,57000,40000
5701,"Electrical, Mechanical, And Precision Technologies And Production",Industrial Arts & Consumer Services,3187,1984,1481,319,0.13851498,100000,62000,40000
2504,Mechanical Engineering Related Technologies,Engineering,6065,4442,3669,310,0.06523569,103000,78000,50000
1903,Mass Media,Communications & Journalism,42915,35939,28054,1957,0.051641334,90000,57000,41000
5901,Transportation Sciences And Technologies,Industrial Arts & Consumer Services,27410,20035,18088,980,0.046633357,124000,90000,62000
2107,Computer Networking And Telecommunications,Computers & Mathematics,11165,9037,7988,803,0.081605691,110000,80000,54000
6299,Miscellaneous Business & Medical Administration,Business,22553,17691,14807,865,0.04661565,106000,75000,47000
2599,Miscellaneous Engineering Technologies,Engineering,14816,12433,11146,407,0.031697819,105000,80000,54000
2503,Industrial Production Technologies,Engineering,19885,14752,12467,603,0.039270596,111000,84500,60000
6099,Miscellaneous Fine Arts,Arts,1733,1100,770,44,0.038461538,76000,55000,40000
5301,Criminal Justice And Fire Protection,Law & Public Policy,188228,154146,133549,6591,0.041004871,100000,68000,45000
6203,Business Management And Administration,Business,813399,622357,527935,32089,0.049032311,115000,77000,50000
5503,Criminology,Social Science,18499,14584,12074,692,0.045299817,98000,65000,44000
6212,Management Information Systems And Statistics,Business,41970,36227,32121,1459,0.038714642,116000,89000,64500
2106,Computer Administration Management And Security,Computers & Mathematics,10290,8554,7581,542,0.059586631,109000,81000,54000
6204,Operations Logistics And E-Commerce,Business,15056,12659,10861,296,0.022848321,131000,94000,64000
6200,General Business,Business,602964,457191,387928,19494,0.040894931,130000,85000,52000
6105,Medical Technologies Technicians,Health,47029,37639,29892,987,0.025552736,112000,76000,55000
2100,Computer And Information Systems,Computers & Mathematics,71527,60858,53807,2539,0.040049214,104000,80000,55000
1901,Communications,Communications & Journalism,266084,212156,159049,10851,0.048657665,96000,65000,45000
6202,Actuarial Science,Business,2472,2020,1725,162,0.074243813,150000,110000,80000
2502,Electrical Engineering Technology,Engineering,28155,22501,19707,1296,0.054460646,110000,85000,60000
1902,Journalism,Communications & Journalism,119953,91778,71683,4026,0.042023298,100000,70000,46000
6104,Medical Assisting Services,Health,18654,14499,10826,377,0.025342834,108000,80000,55000
2500,Engineering Technologies,Engineering,11724,9471,7958,450,0.045358331,105000,74000,48400
6201,Accounting,Business,569677,451610,384280,19729,0.041857347,131000,88000,59000
6000,Fine Arts,Arts,181514,124246,80794,8072,0.06100455,82000,58000,40000
6107,Nursing,Health,573467,437115,335009,9498,0.021266734,110000,84000,62000
2105,Information Sciences,Computers & Mathematics,25799,22403,19028,1179,0.049995759,114000,84000,62000
2403,Architectural Engineering,Engineering,6466,4857,4264,304,0.058903313,110000,78000,56000
4000,Multi/Interdisciplinary Studies,Interdisciplinary,14405,12708,9639,261,0.020124913,74000,55000,43600
5102,"Nuclear, Industrial Radiology, And Biological Technologies",Physical Sciences,3910,3129,2565,28,0.00886918,106000,80000,55000
1100,General Agriculture,Agriculture & Natural Resources,44306,28930,23024,874,0.029324923,104000,68000,45000
1302,Forestry,Agriculture & Natural Resources,24713,16831,14102,725,0.041296423,110000,78000,52000
3401,Liberal Arts,Humanities & Liberal Arts,213970,154404,112953,6788,0.042111271,103000,70000,48000
5403,Human Services And Community Organization,Psychology & Social Work,29262,23537,18213,1504,0.060061499,70110,50100,38000
6003,Visual And Performing Arts,Arts,18324,14841,9671,593,0.038421666,80000,53000,38000
1303,Natural Resources Management,Agriculture & Natural Resources,29357,23394,19087,711,0.029495955,100000,70000,50000
6007,Studio Arts,Arts,28883,21628,14277,1147,0.050362239,70000,50750,40000
2901,Family And Consumer Sciences,Industrial Arts & Consumer Services,149084,101593,69675,3919,0.037142695,80000,58000,42000
4101,Physical Fitness Parks Recreation And Leisure,Industrial Arts & Consumer Services,119489,103790,80196,2696,0.025317882,85000,60000,44000
6207,Finance,Business,301650,252242,221486,11635,0.044092513,150000,95000,62000
2419,Petroleum Engineering,Engineering,7479,5640,4869,112,0.019471488,200000,124000,80000
1105,Plant Science And Agronomy,Agriculture & Natural Resources,30983,22782,18312,735,0.031253986,100000,67000,45000
6209,Human Resources And Personnel Management,Business,72548,55106,47878,3813,0.064715966,100000,70000,47000
6210,International Business,Business,30985,24519,20196,1424,0.054889566,104000,72000,50000
3302,Composition And Rhetoric,Humanities & Liberal Arts,21250,16723,10535,676,0.038852808,80000,58000,42000
6001,Drama And Theater Arts,Arts,66560,50690,34179,3679,0.067667237,85000,58600,44000
6205,Business Economics,Business,30210,22935,19467,1239,0.051253413,150000,94000,60000
2501,Engineering And Industrial Management,Engineering,20177,12781,11035,1336,0.094637671,150000,107000,70000
2102,Computer Science,Computers & Mathematics,324402,281088,243500,10557,0.036198118,125000,95000,69000
6103,Health And Medical Administrative Services,Health,45452,35283,29992,1933,0.051940026,108000,79000,51000
1102,Agricultural Economics,Agriculture & Natural Resources,14800,10592,8768,216,0.019985196,120000,80000,53000
1301,Environmental Science,Biology & Life Science,43612,38068,29568,1392,0.035276229,100000,68000,48000
5504,Geography,Social Science,52147,38935,30602,1251,0.031130244,105000,73000,50000
2499,Miscellaneous Engineering,Engineering,26032,19112,16552,685,0.034601202,122000,90000,60000
3604,Ecology,Biology & Life Science,21535,17793,13713,677,0.036654034,93000,62000,45000
4007,Interdisciplinary Social Sciences,Social Science,30233,22755,17138,1444,0.059671887,96000,66000,45000
1401,Architecture,Engineering,148255,114536,88038,8665,0.070332221,102000,72000,49800
1106,Soil Science,Agriculture & Natural Resources,3335,2284,1641,34,0.014667817,91000,65000,50000
3202,Pre-Law And Legal Studies,Law & Public Policy,33137,24818,20149,1005,0.038918793,121000,76000,50000
2400,General Engineering,Engineering,268473,199771,174234,7460,0.035998475,139000,100000,65000
5098,Multi-Disciplinary Or General Science,Physical Sciences,223467,162694,126999,4705,0.0281065,142000,86000,55000
2406,Civil Engineering,Engineering,196344,150299,127120,5327,0.034229499,130000,98000,70000
2407,Computer Engineering,Engineering,82102,73147,65371,1592,0.021300793,130000,97000,75000
2416,Mining And Mineral Engineering,Engineering,6083,4491,4038,271,0.056908862,140000,100000,72000
2307,Early Childhood Education,Education,82430,63027,43428,1760,0.027165944,65000,50000,40000
5507,Sociology,Social Science,368710,259742,191949,11353,0.041878308,93000,64000,45000
5500,General Social Sciences,Social Science,73350,45744,34005,2841,0.058474838,100000,69000,47000
1103,Animal Sciences,Agriculture & Natural Resources,56807,47755,39047,596,0.012326529,104000,70300,48000
6109,Treatment Therapy Professions,Health,142285,123279,91011,2185,0.017415354,96000,70000,51000
1199,Miscellaneous Agriculture,Agriculture & Natural Resources,5032,2758,2276,261,0.086452468,81000,54000,45000
2414,Mechanical Engineering,Engineering,347342,266923,234162,9810,0.035449332,138000,100000,75000
3402,Humanities,Humanities & Liberal Arts,27477,19264,13799,1215,0.059329069,100000,65000,47000
1104,Food Science,Agriculture & Natural Resources,14521,10857,8074,370,0.032956266,110000,72000,50000
2412,Industrial And Manufacturing Engineering,Engineering,86791,66432,56355,2669,0.038624622,135000,98000,70000
2411,Geological And Geophysical Engineering,Engineering,3940,2673,1905,79,0.028706395,140800,105000,75000
5206,Social Psychology,Psychology & Social Work,7007,4796,3509,312,0.061080658,100000,71000,48800
2417,Naval Architecture And Marine Engineering,Engineering,10801,6739,6332,222,0.03189197,145000,102000,70000
4005,Mathematics And Computer Science,Computers & Mathematics,4810,3880,3045,445,0.102890173,131500,98000,65000
6006,Art History And Criticism,Humanities & Liberal Arts,56666,40441,27668,2293,0.053657509,93000,65000,45000
6199,Miscellaneous Health Medical Professions,Health,51566,39185,28576,1100,0.027305449,90000,60000,41000
6100,General Medical And Health Services,Health,64284,54355,42137,1226,0.022057897,100000,70000,52000
4001,Intercultural And International Studies,Humanities & Liberal Arts,32549,26153,18746,1786,0.063924979,115000,70000,46000
4002,Nutrition Sciences,Health,40740,31411,21321,773,0.024018146,100000,65000,48400
5501,Economics,Social Science,517614,386002,315920,17668,0.043768425,175000,100000,63000
2306,Physical And Health Education Teaching,Education,202105,131845,92639,3782,0.027885303,85000,65000,50000
6110,Community And Public Health,Health,35543,28112,22384,874,0.030152487,100000,68500,48000
2408,Electrical Engineering,Engineering,482767,371723,324080,13974,0.036230513,145000,106000,80000
4901,Theology And Religious Vocations,Humanities & Liberal Arts,165460,115266,90580,3926,0.032938452,69000,48000,32000
5006,Oceanography,Physical Sciences,7315,5501,5642,125,0.022218272,114000,90000,50000
2399,Miscellaneous Education,Education,166626,86566,59620,3106,0.034637345,83000,61000,46200
2402,Biological Engineering,Engineering,21515,16810,13353,695,0.039702942,120000,80000,50000
5401,Public Administration,Law & Public Policy,42661,31985,27682,2000,0.058849492,110000,75000,50000
2304,Elementary Education,Education,1105607,668185,438791,13889,0.020362893,70000,55000,44000
5205,Industrial And Organizational Psychology,Psychology & Social Work,13718,9546,7366,453,0.04530453,106000,75000,50000
3801,Military Technologies,Industrial Arts & Consumer Services,3465,1248,1040,72,0.054545455,123000,74000,37900
2300,General Education,Education,1128727,698049,507406,24083,0.033349858,75000,58000,45000
6002,Music,Arts,205013,150394,88436,6507,0.041472011,85000,60000,41000
2314,Art And Music Education,Education,183239,123145,80953,3600,0.028403487,75000,59000,45000
2601,Linguistics And Comparative Language And Literature,Humanities & Liberal Arts,57960,40277,27836,2157,0.05083188,98000,65000,42000
2413,Materials Engineering And Materials Science,Engineering,17051,13042,10727,705,0.051283916,120000,92000,70000
5502,Anthropology And Archeology,Humanities & Liberal Arts,107888,83632,59545,4374,0.049701157,100000,65000,45100
5404,Social Work,Psychology & Social Work,260824,203983,153941,7963,0.037570891,70000,53000,40000
3301,English Language And Literature,Humanities & Liberal Arts,881433,598806,420936,25330,0.040584103,100000,67000,46600
2312,Teacher Education: Multiple Levels,Education,72079,46866,32536,896,0.018759683,69000,55000,43000
5004,Geology And Earth Science,Physical Sciences,90232,66748,54643,1881,0.027408238,125000,84000,55000
6108,Pharmacy Pharmaceutical Sciences And Administration,Health,152238,124688,97680,3174,0.024823638,140000,111000,85000
2603,Other Foreign Languages,Humanities & Liberal Arts,46826,31558,23188,1436,0.043523065,100000,68000,45000
5200,Psychology,Psychology & Social Work,1184158,915341,666630,35718,0.03755603,97000,64000,45000
1501,Area Ethnic And Civilization Studies,Humanities & Liberal Arts,84409,65878,48598,3091,0.044817237,120000,75000,50000
5000,Physical Sciences,Physical Sciences,7979,5292,4180,208,0.037818182,135000,80000,54000
5002,Atmospheric Sciences And Meteorology,Physical Sciences,11739,8657,7488,237,0.026647178,110000,82000,52000
2405,Chemical Engineering,Engineering,168136,124544,106097,4997,0.03857466,150000,102000,70000
2401,Aerospace Engineering,Engineering,58511,42632,39834,1225,0.027931687,140000,107000,80000
6402,History,Humanities & Liberal Arts,645414,454797,347910,18445,0.038975831,125000,80000,51000
5599,Miscellaneous Social Sciences,Social Science,14077,10916,9039,551,0.048050929,105000,73000,52000
3701,Applied Mathematics,Computers & Mathematics,17075,14113,11699,416,0.02863239,135000,100000,65000
3702,Statistics And Decision Science,Computers & Mathematics,21973,16979,14113,751,0.042357586,125000,92000,64000
2602,French German Latin And Other Common Foreign Language Studies,Humanities & Liberal Arts,215376,145043,98947,5820,0.038578048,100000,67000,48000
2311,Social Science Or History Teacher Education,Education,119073,68997,47671,2263,0.031756946,84000,60000,45000
3700,Mathematics,Computers & Mathematics,418056,287467,217363,11245,0.037644956,127000,89000,60000
5506,Political Science And Government,Social Science,695725,548199,455539,22134,0.038808906,150000,92000,60000
5505,International Relations,Social Science,69355,54693,44547,2594,0.045280779,132000,86000,55000
2410,Environmental Engineering,Engineering,11722,9387,8183,450,0.045745654,110000,81000,56000
3699,Miscellaneous Biology,Biology & Life Science,27744,22488,17787,597,0.025860949,108000,65000,43200
5299,Miscellaneous Psychology,Psychology & Social Work,32107,24652,18469,777,0.030555665,110000,68000,45000
2415,Metallurgical Engineering,Engineering,13656,9299,8095,218,0.022906378,135000,100000,74000
2309,Secondary Teacher Education,Education,239928,128469,89415,2929,0.022291055,80000,61000,48000
5005,Geosciences,Physical Sciences,9006,7443,6200,134,0.0176851,130000,90000,55000
6403,United States History,Humanities & Liberal Arts,18877,12217,8628,327,0.02606824,130000,82000,55000
2409,Engineering Mechanics Physics And Science,Engineering,21377,15822,13676,472,0.028967718,147000,100000,74000
4006,Cognitive Science And Biopsychology,Biology & Life Science,5982,5032,3879,239,0.04534244,135000,95000,55000
2313,Language And Drama Education,Education,199901,122260,80860,3921,0.031074409,75000,58000,45100
2418,Nuclear Engineering,Engineering,10520,8567,8018,100,0.011538018,148000,110000,85000
5402,Public Policy,Law & Public Policy,15284,12875,10988,415,0.031226486,136000,89000,60000
2305,Mathematics Teacher Education,Education,80826,51750,34672,748,0.014248162,80000,60000,47500
2308,Science And Computer Teacher Education,Education,69301,42043,28805,954,0.022187594,84000,62000,48000
3606,Microbiology,Biology & Life Science,83816,66240,53208,2201,0.032159086,141000,85000,53000
4801,Philosophy And Religious Studies,Humanities & Liberal Arts,250420,182113,138724,7369,0.038890238,105000,65000,41900
2310,Special Needs Education,Education,192495,144858,98736,3329,0.022464859,75000,58000,46000
3602,Botany,Biology & Life Science,19960,13071,9457,449,0.033210059,110000,70000,42000
3600,Biology,Biology & Life Science,1085977,898342,703347,19368,0.021104706,174000,95000,56000
5001,Astronomy And Astrophysics,Physical Sciences,6331,5480,4548,112,0.020028612,150000,96000,60000
5003,Chemistry,Physical Sciences,464784,336838,273532,10411,0.029981368,160000,100000,62000
3608,Physiology,Biology & Life Science,59363,50450,38252,1078,0.020920664,151000,90000,55000
2404,Biomedical Engineering,Engineering,22155,19474,16845,366,0.018447581,150000,90000,49000
3501,Library Science,Education,28963,15651,10914,483,0.029936779,76000,52000,41996
3603,Molecular Biology,Biology & Life Science,37872,32729,26944,950,0.028207488,155000,85000,50000
3607,Pharmacology,Biology & Life Science,8853,7571,6238,188,0.024229927,137000,105000,70000
3609,Zoology,Biology & Life Science,106415,80607,60310,1723,0.020927973,230000,110000,65000
5007,Physics,Physical Sciences,227722,168583,140603,6189,0.035411851,140000,100000,62000
3611,Neuroscience,Biology & Life Science,14429,12551,10044,225,0.017611146,90000,58000,45000
5201,Educational Psychology,Psychology & Social Work,28941,18993,12772,499,0.025600246,84000,61000,45500
3601,Biochemical Sciences,Biology & Life Science,128892,109944,90589,2728,0.024211872,175000,96000,55000
3605,Genetics,Biology & Life Science,12106,10450,9060,207,0.019423853,120000,78000,48000
5008,Materials Science,Engineering,14184,12263,9894,273,0.021777281,125000,95000,65000
6102,Communication Disorders Sciences And Services,Health,182108,145102,93323,2103,0.0142862,83000,65000,50000
5203,Counseling Psychology,Psychology & Social Work,51812,38468,28808,1420,0.035599679,65000,50000,36000
5202,Clinical Psychology,Psychology & Social Work,22716,16612,12022,782,0.044958032,95000,70000,47000
6106,Health And Medical Preparatory Programs,Health,114971,78132,58825,1732,0.021686868,294000,135000,70000
2303,School Student Counseling,Education,19841,11313,8130,613,0.051400302,70000,56000,42000
2301,Educational Administration And Supervision,Education,54159,34142,26850,582,0.016760742,86000,65000,50000
